hours,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
18,1,17,Offshore B,0.8543,-0.0009,-0.0013,-0.0928,0.0086,0.0935,1.4536
18,1,17,Sparseville,0.8519,-0.0035,-0.0041,-0.1401,-0.0362,0.1448,1.785
18,1,17,GANopolis,0.8516,-0.0034,-0.0036,-0.2361,-0.065,0.2451,2.7446
19,1,18,Offshore A,0.9169,-0.003,-0.0026,-0.1115,0.0279,0.1151,1.5853
19,1,18,ReLU Ridge,0.8962,-0.0033,-0.0042,-0.0888,0.0009,0.0889,1.4297
19,1,18,Sparseville,0.882,-0.0037,-0.0044,-0.1191,-0.007,0.1197,1.6146
19,1,18,GANopolis,0.8986,-0.004,-0.0039,-0.111,0.0015,0.1115,1.5668
19,1,18,Gradient Grove,0.887,0.0032,0.0033,-0.1298,0.0044,0.1303,1.6843
19,1,18,Bayes Bay,0.8857,-0.002,-0.002,-0.1121,0.0363,0.1197,1.6143
19,1,18,Tensorburg,0.8748,-0.0012,-0.0021,-0.1116,-0.0085,0.1123,1.5672
19,1,18,Offshore B,0.8911,-0.0012,-0.0018,-0.0734,-0.0159,0.0754,1.3527
20,1,19,GANopolis,0.9508,-0.0016,-0.0011,-0.0618,0.0102,0.0626,1.2863
20,1,19,Bayes Bay,0.9377,-0.0006,-0.0006,-0.0999,0.0812,0.1288,1.6742
20,1,19,Tensorburg,0.9418,-0.0017,-0.003,-0.1214,-0.0438,0.1293,1.6777
20,1,19,ReLU Ridge,0.9484,-0.0033,-0.0041,-0.1382,0.036,0.1431,1.7751
20,1,19,Sparseville,0.9402,-0.0039,-0.0045,-0.1115,0.0238,0.1142,1.5794
20,1,19,Offshore A,0.9679,-0.0,0.0015,-0.1071,0.0317,0.1117,1.5637
20,1,19,Offshore B,0.9406,-0.0006,-0.0013,-0.0446,-0.022,0.0498,1.2206
20,1,19,Gradient Grove,0.9421,0.0035,0.0037,-0.1114,-0.02,0.1133,1.574
21,1,20,Sparseville,0.9888,-0.0035,-0.004,-0.1269,0.0094,0.1279,1.6684
21,1,20,Bayes Bay,0.9763,0.0031,0.0032,-0.0912,0.0816,0.1224,1.632
21,1,20,GANopolis,0.9871,0.0016,0.0007,-0.0387,0.0067,0.0392,1.1701
21,1,20,Gradient Grove,0.9875,0.0012,0.0011,-0.0947,-0.0291,0.0991,1.4864
21,1,20,Tensorburg,0.9862,0.0011,0.0,-0.1249,-0.0499,0.1345,1.7129
21,1,20,ReLU Ridge,0.9896,-0.0004,-0.0004,-0.156,0.0458,0.1627,1.917
21,1,20,Offshore A,1.013,0.002,0.0042,-0.0982,0.0346,0.1042,1.517
21,1,20,Offshore B,0.9882,-0.0012,-0.0023,-0.0353,-0.0122,0.0374,1.1616
22,1,21,Tensorburg,1.0146,0.0036,0.0026,-0.1334,-0.0416,0.1397,1.749
22,1,21,Sparseville,1.0168,-0.0031,-0.0034,-0.137,-0.0143,0.1378,1.7351
22,1,21,ReLU Ridge,1.0211,0.0025,0.0033,-0.1306,0.0405,0.1367,1.7293
22,1,21,Offshore A,1.0365,0.0,0.0022,-0.0943,0.0383,0.1018,1.5025
22,1,21,Offshore B,1.0155,-0.0024,-0.0039,-0.0345,-0.0006,0.0347,1.1491
22,1,21,Gradient Grove,1.015,-0.0009,-0.0013,-0.0844,-0.0284,0.0891,1.4282
22,1,21,Bayes Bay,1.0059,0.0048,0.0048,-0.0747,0.0729,0.1044,1.5185
22,1,21,GANopolis,1.0205,0.0025,0.0009,-0.0498,0.0093,0.0507,1.2247
23,1,22,Offshore A,1.0522,-0.0028,-0.0009,-0.0937,0.0405,0.102,1.5041
23,1,22,GANopolis,1.0398,0.0028,0.0012,-0.0461,0.0079,0.0468,1.206
23,1,22,Gradient Grove,1.0379,-0.0011,-0.0017,-0.0868,-0.0192,0.0891,1.4282
23,1,22,Bayes Bay,1.024,0.0022,0.0017,-0.0711,0.0798,0.1069,1.5338
23,1,22,ReLU Ridge,1.0407,0.0013,0.0021,-0.0986,0.0437,0.108,1.541
23,1,22,Tensorburg,1.0315,0.0039,0.0028,-0.1411,-0.0389,0.1464,1.7962
23,1,22,Offshore B,1.0355,-0.0027,-0.0046,-0.0505,0.0136,0.0523,1.2334
23,1,22,Sparseville,1.0309,-0.0014,-0.0015,-0.1364,-0.0168,0.1375,1.7332
24,1,23,Tensorburg,1.0436,0.0021,0.0009,-0.1417,-0.0324,0.1454,1.789
24,1,23,ReLU Ridge,1.0493,-0.0008,-0.0003,-0.0698,0.0523,0.0876,1.4199
24,1,23,Sparseville,1.0419,0.0016,0.0017,-0.1222,-0.0335,0.127,1.6622
24,1,23,Offshore B,1.0494,-0.0031,-0.0049,-0.071,0.0042,0.0717,1.3325
24,1,23,GANopolis,1.0494,0.0026,0.0012,-0.0331,-0.0064,0.0342,1.1467
24,1,23,Gradient Grove,1.0545,-0.0005,-0.0014,-0.1022,0.0143,0.1054,1.5243
24,1,23,Bayes Bay,1.0397,-0.0012,-0.002,-0.097,0.0943,0.1355,1.7207
24,1,23,Offshore A,1.0649,-0.0059,-0.0044,-0.0958,0.0385,0.1032,1.5112
25,2,0,Bayes Bay,1.0526,-0.0049,-0.0059,-0.1359,0.0814,0.1591,1.8898
25,2,0,GANopolis,1.0559,0.0031,0.0022,-0.0374,-0.0151,0.0405,1.176
25,2,0,Tensorburg,1.0527,0.0016,0.0013,-0.144,-0.0131,0.1448,1.7849
25,2,0,Offshore B,1.0538,-0.0024,-0.004,-0.0756,-0.0149,0.0773,1.3624
25,2,0,ReLU Ridge,1.0522,-0.0013,-0.0013,-0.0504,0.0721,0.0882,1.4233
25,2,0,Offshore A,1.0742,-0.0061,-0.0046,-0.0973,0.0316,0.1023,1.5058
25,2,0,Sparseville,1.0506,0.0032,0.0035,-0.1078,-0.0571,0.1221,1.63
25,2,0,Gradient Grove,1.0589,-0.0012,-0.0025,-0.0639,0.108,0.1285,1.6751
26,2,1,Offshore B,1.0556,-0.0011,-0.002,-0.1069,0.0201,0.109,1.5495
26,2,1,Tensorburg,1.0655,0.0035,0.0044,-0.1312,0.0106,0.1318,1.6939
26,2,1,GANopolis,1.0655,0.0021,0.0017,-0.0655,-0.0087,0.0662,1.3038
26,2,1,Bayes Bay,1.0614,-0.0055,-0.0063,-0.1442,0.0314,0.1482,1.8094
26,2,1,Gradient Grove,1.0546,-0.0019,-0.0032,-0.0362,0.1623,0.1663,1.9452
26,2,1,ReLU Ridge,1.0606,-0.0016,-0.002,-0.0575,0.0967,0.1126,1.5697
26,2,1,Offshore A,1.0859,-0.0038,-0.0023,-0.0957,0.0212,0.098,1.4801
26,2,1,Sparseville,1.058,0.0004,0.0004,-0.1073,-0.0737,0.1302,1.6837
27,2,2,Offshore A,1.0955,-0.0018,-0.0004,-0.0909,0.0099,0.0915,1.4421
27,2,2,ReLU Ridge,1.0696,-0.0029,-0.0035,-0.0862,0.107,0.1376,1.7346
27,2,2,Tensorburg,1.0781,0.0021,0.003,-0.1264,0.0271,0.1293,1.6775
27,2,2,Sparseville,1.0721,-0.002,-0.0021,-0.1193,-0.0708,0.1388,1.7425
27,2,2,Offshore B,1.0639,-0.0012,-0.0016,-0.1464,-0.0093,0.1476,1.8057
27,2,2,GANopolis,1.0746,-0.0007,-0.0009,-0.0815,-0.0084,0.082,1.3881
27,2,2,Bayes Bay,1.0698,-0.003,-0.0034,-0.1346,-0.0102,0.1355,1.7193
27,2,2,Gradient Grove,1.045,-0.0003,-0.0012,-0.0337,0.1649,0.1683,1.9607
28,2,3,Gradient Grove,1.034,0.0017,0.0012,-0.0251,0.1803,0.1821,2.0743
28,2,3,Bayes Bay,1.0802,-0.0001,-0.0003,-0.137,-0.0461,0.1447,1.7842
28,2,3,GANopolis,1.0908,-0.0025,-0.0028,-0.0828,-0.0102,0.0834,1.3961
28,2,3,Tensorburg,1.0923,-0.0014,-0.0008,-0.1271,0.0348,0.1318,1.6939
28,2,3,Sparseville,1.0871,0.0,0.0001,-0.1198,-0.0527,0.1309,1.6885
28,2,3,Offshore A,1.1073,-0.0014,-0.0005,-0.0837,-0.0024,0.0839,1.3986
28,2,3,Offshore B,1.0798,-0.0024,-0.0025,-0.153,-0.0356,0.1571,1.8745
28,2,3,ReLU Ridge,1.0857,-0.0032,-0.0036,-0.1206,0.1008,0.1576,1.8786
29,2,4,Offshore A,1.1046,-0.0023,-0.0019,-0.0718,-0.012,0.0728,1.3383
29,2,4,Offshore B,1.1035,-0.0016,-0.0016,-0.1348,-0.018,0.1362,1.7254
29,2,4,ReLU Ridge,1.1021,-0.0013,-0.0014,-0.1353,0.062,0.1495,1.8193
29,2,4,Sparseville,1.1057,0.0032,0.0035,-0.1083,-0.0325,0.1133,1.5736
29,2,4,Tensorburg,1.1036,-0.0047,-0.0045,-0.1248,0.032,0.1289,1.6744
29,2,4,GANopolis,1.1146,-0.001,-0.0012,-0.092,-0.0053,0.0922,1.446
29,2,4,Bayes Bay,1.0965,-0.0015,-0.0017,-0.1454,-0.0517,0.1544,1.8545
29,2,4,Gradient Grove,1.0144,0.0012,0.0009,-0.0175,0.2369,0.2376,2.5925
30,2,5,GANopolis,1.1036,0.0012,0.0012,-0.1036,0.0022,0.1037,1.5138
30,2,5,Gradient Grove,1.0068,-0.0011,-0.0012,-0.0651,0.2216,0.2318,2.5364
30,2,5,Tensorburg,1.0802,-0.0052,-0.0053,-0.1107,0.0032,0.1114,1.5626
30,2,5,Offshore B,1.108,0.0002,0.0002,-0.1022,-0.0016,0.1023,1.5061
30,2,5,ReLU Ridge,1.085,0.0002,0.0003,-0.1206,0.0026,0.1216,1.6269
30,2,5,Offshore A,1.0885,-0.0023,-0.0023,-0.0955,-0.0078,0.0959,1.4694
30,2,5,Sparseville,1.112,0.0041,0.0043,-0.0945,-0.0047,0.0948,1.4615
30,2,5,Bayes Bay,1.0977,-0.0004,-0.0005,-0.1188,-0.0129,0.1203,1.6218
31,2,6,Offshore A,1.0496,-0.0009,-0.0011,-0.1494,0.007,0.1496,1.8221
31,2,6,Offshore B,1.0676,-0.001,-0.0013,-0.0806,-0.0051,0.0809,1.3823
31,2,6,Sparseville,1.0622,0.0024,0.0023,-0.079,0.0029,0.0791,1.3725
31,2,6,GANopolis,1.0623,0.0008,0.0012,-0.109,0.0159,0.1102,1.5542
31,2,6,Bayes Bay,1.0418,0.0004,0.0002,-0.0587,0.0356,0.0706,1.3266
31,2,6,Tensorburg,1.0357,-0.002,-0.0024,-0.0775,-0.0347,0.0853,1.4069
31,2,6,ReLU Ridge,1.0446,0.0016,0.0015,-0.1227,-0.047,0.1318,1.6948
31,2,6,Gradient Grove,1.0298,-0.0015,-0.0013,-0.101,0.0584,0.1272,1.6704
32,2,7,Gradient Grove,1.0349,-0.0014,-0.0007,-0.0932,-0.0234,0.0961,1.47
32,2,7,ReLU Ridge,1.0208,0.0018,0.0013,-0.1469,-0.0589,0.1584,1.8861
32,2,7,Offshore B,1.0062,-0.0035,-0.0043,-0.0734,-0.0216,0.0767,1.3589
32,2,7,Tensorburg,1.0235,0.0013,0.0006,-0.091,-0.0339,0.0971,1.4755
32,2,7,Sparseville,1.0101,-0.0023,-0.0023,-0.0948,-0.0192,0.0968,1.4742
32,2,7,Offshore A,1.0074,0.0007,0.0005,-0.1566,0.0203,0.1579,1.8815
32,2,7,GANopolis,1.0428,-0.001,-0.0005,-0.1141,0.0103,0.1146,1.5816
32,2,7,Bayes Bay,1.0115,-0.0028,-0.0034,-0.0623,0.0483,0.0789,1.3719
33,2,8,Bayes Bay,0.9785,-0.0045,-0.0056,-0.0766,0.0574,0.0958,1.4672
33,2,8,GANopolis,0.9962,-0.0006,0.0002,-0.1051,-0.0043,0.1053,1.5239
33,2,8,Offshore B,0.9962,-0.0033,-0.0044,-0.0756,-0.0237,0.0794,1.3738
33,2,8,Offshore A,0.983,0.0012,0.0011,-0.1434,0.0154,0.1442,1.7806
33,2,8,Tensorburg,0.9808,0.0033,0.0023,-0.1092,-0.023,0.1118,1.5639
33,2,8,Gradient Grove,1.0039,-0.0011,-0.0002,-0.0791,-0.0101,0.0798,1.3761
33,2,8,ReLU Ridge,0.9841,0.0013,0.0005,-0.1515,-0.0696,0.1671,1.9512
33,2,8,Sparseville,0.9852,-0.0025,-0.0021,-0.1016,-0.0344,0.1074,1.5373
34,2,9,GANopolis,0.9814,0.0017,0.0026,-0.1016,-0.0188,0.1034,1.5125
34,2,9,Sparseville,0.9626,-0.0033,-0.0028,-0.0805,-0.0407,0.0902,1.4345
34,2,9,Tensorburg,0.9695,0.0011,-0.0003,-0.1159,0.001,0.116,1.5903
34,2,9,Gradient Grove,0.981,-0.0009,0.0001,-0.0735,0.0013,0.0736,1.3425
34,2,9,ReLU Ridge,0.9648,0.0001,-0.0009,-0.1395,-0.0738,0.1578,1.8803
34,2,9,Offshore A,0.9597,0.0017,0.0018,-0.146,0.0086,0.1463,1.7954
34,2,9,Bayes Bay,0.967,-0.0027,-0.0043,-0.0796,0.0672,0.1042,1.5173
34,2,9,Offshore B,0.9654,-0.0019,-0.0031,-0.0879,-0.0042,0.0882,1.4229
35,2,10,Offshore B,0.9541,-0.0015,-0.0028,-0.0986,0.0114,0.0993,1.4876
35,2,10,GANopolis,0.9638,0.0035,0.0044,-0.0978,-0.0341,0.1037,1.5139
35,2,10,Gradient Grove,0.9587,-0.0014,-0.0005,-0.0507,0.0149,0.0532,1.2372
35,2,10,Bayes Bay,0.9499,-0.0016,-0.0035,-0.0916,0.0801,0.1217,1.6275
35,2,10,Offshore A,0.9497,0.0028,0.0031,-0.1363,-0.0008,0.1363,1.7249
35,2,10,Sparseville,0.9456,-0.0028,-0.0026,-0.0668,-0.043,0.0795,1.3747
